kind,id,name,icon
item,bronze_hatchet,Bronze hatchet,i07/bronzeAxe.png
item,bronze_pickaxe,Bronze pickaxe,i07/bronzePickaxe.png
item,bronze_dagger,Bronze dagger,i07/bronzeDagger.png
item,bronze_sword,Bronze sword,i07/bronzeSword.png
item,bronze_scimitar,Bronze scimitar,i07/bronzeScimitar.png
item,bronze_longsword,Bronze longsword,i07/bronzeLongsword.png
item,bronze_mace,Bronze mace,i07/bronzeMace.png
item,bronze_battleaxe,Bronze battleaxe,i07/bronzeBattleaxe.png
item,bronze_warhammer,Bronze warhammer,i07/bronzeWarhammer.png
item,bronze_claws,Bronze claws,i07/bronzeClaws.png
item,bronze_2h_sword,Bronze 2h sword,i07/bronze2hSword.png
item,bronze_halberd,Bronze halberd,i07/bronzeHalberd.png
item,bronze_spear,Bronze spear,i07/bronzeSpear.png
item,bronze_hasta,Bronze hasta,i07/bronzeHasta.png
item,bronze_med_helm,Bronze med helm,i07/bronzeMedHelm.png
item,bronze_full_helm,Bronze full helm,i07/bronzeFullHelm.png
item,bronze_platebody,Bronze platebody,i07/bronzePlatebody.png
item,bronze_chainbody,Bronze chainbody,i07/bronzeChainbody.png
item,bronze_platelegs,Bronze platelegs,i07/bronzePlatelegs.png
item,bronze_plateskirt,Bronze plateskirt,i07/bronzePlateskirt.png
item,bronze_kiteshield,Bronze kiteshield,i07/bronzeKiteshield.png
item,bronze_sq_shield,Bronze sq shield,i07/bronzeSqShield.png
item,bronze_defender,Bronze defender,i07/bronzeDefender.png
item,bronze_gauntlets,Bronze gauntlets,i07/bronzeGloves.png
item,iron_hatchet,Iron hatchet,i07/ironAxe.png
item,iron_pickaxe,Iron pickaxe,i07/ironPickaxe.png
item,iron_dagger,Iron dagger,i07/ironDagger.png
item,iron_sword,Iron sword,i07/ironSword.png
item,iron_scimitar,Iron scimitar,i07/ironScimitar.png
item,iron_longsword,Iron longsword,i07/ironLongsword.png
item,iron_mace,Iron mace,i07/ironMace.png
item,iron_battleaxe,Iron battleaxe,i07/ironBattleaxe.png
item,iron_warhammer,Iron warhammer,i07/ironWarhammer.png
item,iron_claws,Iron claws,i07/ironClaws.png
item,iron_2h_sword,Iron 2h sword,i07/iron2hSword.png
item,iron_halberd,Iron halberd,i07/ironHalberd.png
item,iron_spear,Iron spear,i07/ironSpear.png
item,iron_hasta,Iron hasta,i07/ironHasta.png
item,iron_med_helm,Iron med helm,i07/ironMedHelm.png
item,iron_full_helm,Iron full helm,i07/ironFullHelm.png
item,iron_platebody,Iron platebody,i07/ironPlatebody.png
item,iron_chainbody,Iron chainbody,i07/ironChainbody.png
item,iron_platelegs,Iron platelegs,i07/ironPlatelegs.png
item,iron_plateskirt,Iron plateskirt,i07/ironPlateskirt.png
item,iron_kiteshield,Iron kiteshield,i07/ironKiteshield.png
item,iron_sq_shield,Iron sq shield,i07/ironSqShield.png
item,iron_defender,Iron defender,i07/ironDefender.png
item,iron_boots,Iron boots,i07/ironBoots.png
item,iron_gauntlets,Iron gauntlets,i07/ironGloves.png
item,steel_hatchet,Steel hatchet,i07/steelAxe.png
item,steel_pickaxe,Steel pickaxe,i07/steelPickaxe.png
item,steel_dagger,Steel dagger,i07/steelDagger.png
item,steel_sword,Steel sword,i07/steelSword.png
item,steel_scimitar,Steel scimitar,i07/steelScimitar.png
item,steel_longsword,Steel longsword,i07/steelLongsword.png
item,steel_mace,Steel mace,i07/steelMace.png
item,steel_battleaxe,Steel battleaxe,i07/steelBattleaxe.png
item,steel_warhammer,Steel warhammer,i07/steelWarhammer.png
item,steel_claws,Steel claws,i07/steelClaws.png
item,steel_2h_sword,Steel 2h sword,i07/steel2hSword.png
item,steel_halberd,Steel halberd,i07/steelHalberd.png
item,steel_spear,Steel spear,i07/steelSpear.png
item,steel_hasta,Steel hasta,i07/steelHasta.png
item,steel_med_helm,Steel med helm,i07/steelMedHelm.png
item,steel_full_helm,Steel full helm,i07/steelFullHelm.png
item,steel_platebody,Steel platebody,i07/steelPlatebody.png
item,steel_chainbody,Steel chainbody,i07/steelChainbody.png
item,steel_platelegs,Steel platelegs,i07/steelPlatelegs.png
item,steel_plateskirt,Steel plateskirt,i07/steelPlateskirt.png
item,steel_kiteshield,Steel kiteshield,i07/steelKiteshield.png
item,steel_sq_shield,Steel sq shield,i07/steelSqShield.png
item,steel_defender,Steel defender,i07/steelDefender.png
item,steel_boots,Steel boots,i07/steelBoots.png
item,steel_gauntlets,Steel gauntlets,i07/steelGauntlets.png
item,black_hatchet,Black hatchet,i07/blackAxe.png
item,black_dagger,Black dagger,i07/blackDagger.png
item,black_sword,Black sword,i07/blackSword.png
item,black_scimitar,Black scimitar,i07/blackScimitar.png
item,black_longsword,Black longsword,i07/blackLongsword.png
item,black_mace,Black mace,i07/blackMace.png
item,black_battleaxe,Black battleaxe,i07/blackBattleaxe.png
item,black_warhammer,Black warhammer,i07/blackWarhammer.png
item,black_claws,Black claws,i07/blackClaws.png
item,black_2h_sword,Black 2h sword,i07/black2hSword.png
item,black_halberd,Black halberd,i07/blackHalberd.png
item,black_spear,Black spear,i07/blackSpear.png
item,black_med_helm,Black med helm,i07/blackMedHelm.png
item,black_full_helm,Black full helm,i07/blackFullHelm.png
item,black_platebody,Black platebody,i07/blackPlatebody.png
item,black_chainbody,Black chainbody,i07/blackChainbody.png
item,black_platelegs,Black platelegs,i07/blackPlatelegs.png
item,black_plateskirt,Black plateskirt,i07/blackPlateskirt.png
item,black_kiteshield,Black kiteshield,i07/blackKiteshield.png
item,black_sq_shield,Black sq shield,i07/blackSqShield.png
item,black_defender,Black defender,i07/blackDefender.png
item,black_boots,Black boots,i07/blackBoots.png
item,black_gauntlets,Black gauntlets,i07/blackGloves.png
item,mithril_hatchet,Mithril hatchet,i07/mithrilAxe.png
item,mithril_pickaxe,Mithril pickaxe,i07/mithrilPickaxe.png
item,mithril_dagger,Mithril dagger,i07/mithrilDagger.png
item,mithril_sword,Mithril sword,i07/mithrilSword.png
item,mithril_scimitar,Mithril scimitar,i07/mithrilScimitar.png
item,mithril_longsword,Mithril longsword,i07/mithrilLongsword.png
item,mithril_mace,Mithril mace,i07/mithrilMace.png
item,mithril_battleaxe,Mithril battleaxe,i07/mithrilBattleaxe.png
item,mithril_warhammer,Mithril warhammer,i07/mithrilWarhammer.png
item,mithril_claws,Mithril claws,i07/mithrilClaws.png
item,mithril_2h_sword,Mithril 2h sword,i07/mithril2hSword.png
item,mithril_halberd,Mithril halberd,i07/mithrilHalberd.png
item,mithril_spear,Mithril spear,i07/mithrilSpear.png
item,mithril_hasta,Mithril hasta,i07/mithrilHasta.png
item,mithril_med_helm,Mithril med helm,i07/mithrilMedHelm.png
item,mithril_full_helm,Mithril full helm,i07/mithrilFullHelm.png
item,mithril_platebody,Mithril platebody,i07/mithrilPlatebody.png
item,mithril_chainbody,Mithril chainbody,i07/mithrilChainbody.png
item,mithril_platelegs,Mithril platelegs,i07/mithrilPlatelegs.png
item,mithril_plateskirt,Mithril plateskirt,i07/mithrilPlateskirt.png
item,mithril_kiteshield,Mithril kiteshield,i07/mithrilKiteshield.png
item,mithril_sq_shield,Mithril sq shield,i07/mithrilSqShield.png
item,mithril_defender,Mithril defender,i07/mithrilDefender.png
item,mithril_boots,Mithril boots,i07/mithrilBoots.png
item,mithril_gauntlets,Mithril gauntlets,i07/mithrilGloves.png
item,adamant_hatchet,Adamant hatchet,i07/adamantAxe.png
item,adamant_pickaxe,Adamant pickaxe,i07/adamantPickaxe.png
item,adamant_dagger,Adamant dagger,i07/adamantDagger.png
item,adamant_sword,Adamant sword,i07/adamantSword.png
item,adamant_scimitar,Adamant scimitar,i07/adamantScimitar.png
item,adamant_longsword,Adamant longsword,i07/adamantLongsword.png
item,adamant_mace,Adamant mace,i07/adamantMace.png
item,adamant_battleaxe,Adamant battleaxe,i07/adamantBattleaxe.png
item,adamant_warhammer,Adamant warhammer,i07/adamantWarhammer.png
item,adamant_claws,Adamant claws,i07/adamantClaws.png
item,adamant_2h_sword,Adamant 2h sword,i07/adamant2hSword.png
item,adamant_halberd,Adamant halberd,i07/adamantHalberd.png
item,adamant_spear,Adamant spear,i07/adamantSpear.png
item,adamant_hasta,Adamant hasta,i07/adamantHasta.png
item,adamant_med_helm,Adamant med helm,i07/adamantMedHelm.png
item,adamant_full_helm,Adamant full helm,i07/adamantFullHelm.png
item,adamant_platebody,Adamant platebody,i07/adamantPlatebody.png
item,adamant_chainbody,Adamant chainbody,i07/adamantChainbody.png
item,adamant_platelegs,Adamant platelegs,i07/adamantPlatelegs.png
item,adamant_plateskirt,Adamant plateskirt,i07/adamantPlateskirt.png
item,adamant_kiteshield,Adamant kiteshield,i07/adamantKiteshield.png
item,adamant_sq_shield,Adamant sq shield,i07/adamantSqShield.png
item,adamant_defender,Adamant defender,i07/adamantDefender.png
item,adamant_boots,Adamant boots,i07/adamantBoots.png
item,adamant_gauntlets,Adamant gauntlets,i07/adamantGloves.png
item,rune_hatchet,Rune hatchet,i07/runeAxe.png
item,rune_pickaxe,Rune pickaxe,i07/runePickaxe.png
item,rune_dagger,Rune dagger,i07/runeDagger.png
item,rune_sword,Rune sword,i07/runeSword.png
item,rune_scimitar,Rune scimitar,i07/runeScimitar.png
item,rune_longsword,Rune longsword,i07/runeLongsword.png
item,rune_mace,Rune mace,i07/runeMace.png
item,rune_battleaxe,Rune battleaxe,i07/runeBattleaxe.png
item,rune_warhammer,Rune warhammer,i07/runeWarhammer.png
item,rune_claws,Rune claws,i07/runeClaws.png
item,rune_2h_sword,Rune 2h sword,i07/rune2hSword.png
item,rune_halberd,Rune halberd,i07/runeHalberd.png
item,rune_spear,Rune spear,i07/runeSpear.png
item,rune_hasta,Rune hasta,i07/runeHasta.png
item,rune_med_helm,Rune med helm,i07/runeMedHelm.png
item,rune_full_helm,Rune full helm,i07/runeFullHelm.png
item,rune_platebody,Rune platebody,i07/runePlatebody.png
item,rune_chainbody,Rune chainbody,i07/runeChainbody.png
item,rune_platelegs,Rune platelegs,i07/runePlatelegs.png
item,rune_plateskirt,Rune plateskirt,i07/runePlateskirt.png
item,rune_kiteshield,Rune kiteshield,i07/runeKiteshield.png
item,rune_sq_shield,Rune sq shield,i07/runeSqShield.png
item,rune_defender,Rune defender,i07/runeDefender.png
item,rune_boots,Rune boots,i07/runeBoots.png
item,rune_gauntlets,Rune gauntlets,i07/runeGloves.png
